"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Chevrolet | Ford | Honda | Jaguar | Mercedes-Benz | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3949452"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"03/1994",8116,1608,1456,324,6,10,418
"04/1994",8720,1714,1558,378,,28,456
"05/1994",9298,1698,1740,406,6,30,474
"06/1994",9214,1654,1668,480,4,22,484
"07/1994",10052,1912,1866,460,6,30,524
"08/1994",10228,1818,1882,474,12,18,574
"09/1994",9624,1820,1784,468,10,16,496
"10/1994",10372,2012,1960,412,,36,546
"11/1994",9506,1748,1868,338,8,20,528
"12/1994",9956,1928,1852,362,2,22,540
"01/1995",8298,1644,1602,244,8,36,424
"02/1995",7494,1464,1444,280,4,30,452
"03/1995",8682,1646,1672,346,2,22,470
"04/1995",8582,1660,1636,388,2,30,460
"05/1995",9058,1664,1746,424,,22,474
"06/1995",9842,1852,1700,436,2,28,554
"07/1995",10122,1850,1860,492,2,22,572
"08/1995",10852,1950,2002,562,8,34,618
"09/1995",10194,1928,1862,442,10,44,514
"10/1995",10590,2162,2014,452,4,34,526
"11/1995",9630,1728,1882,376,6,42,534
"12/1995",9704,1850,1854,368,2,34,542
"01/1996",8414,1560,1682,300,2,24,432
"02/1996",8074,1504,1512,274,,22,398
"03/1996",8764,1650,1642,322,2,26,498
"04/1996",8952,1638,1716,376,4,24,464
"05/1996",9318,1746,1718,436,2,18,482
"06/1996",10228,1826,1826,470,2,36,578
"07/1996",9590,1790,1814,446,8,14,510
"08/1996",10570,1974,2008,484,2,30,496
"09/1996",9874,1864,1812,474,4,20,570
"10/1996",10606,1970,1950,486,2,24,558
"11/1996",10102,1970,1870,404,4,30,536
"12/1996",10202,1904,1946,390,4,22,578
"01/1997",8752,1622,1672,276,8,12,498
"02/1997",7720,1404,1546,324,8,34,454
"03/1997",8576,1558,1622,392,2,20,476
"04/1997",8734,1584,1690,354,8,26,468
"05/1997",10174,1794,2018,480,18,42,564
"06/1997",9908,1732,1858,514,2,24,538
"07/1997",10252,1878,2010,542,2,26,496
"08/1997",10578,1956,2038,532,12,24,538
"09/1997",9432,1790,1708,442,8,26,474
"10/1997",10318,1928,1938,436,8,38,532
"11/1997",9600,1798,1914,368,10,34,524
"12/1997",10076,1828,2008,338,4,36,524
"01/1998",8510,1534,1616,288,,22,454
